City,OpTeam,Player,Points
Atlanta,Hawks,"Zach LaVine",47
Boston,Celtics,LaMarcus Aldridge,48
Brooklyn,Nets,James Harden,58
Charlotte,Hornets,"Bradley Beal",46
Chicago ,Bulls,"Klay Thompson",52
Cleveland ,Cavaliers,"Giannis Antetokounmpo",44
Dallas,Mavericks,"Jamal Crawford",51
Denver,Nuggets,"Donovan Mitchell",46
Detroit,Pistons,James Harden,43
Golden State,Warriors,James Harden,44
Houston,Rockets,Paul George,45
Indiana ,Pacers,James Harden,40
Los Angeles,Clippers,Anthony Davis,46
Los Angeles,Lakers,"James Harden",50
Memphis,Grizzlies,"James Harden",57
Miami,Heat,"James Harden",58
Milwaukee,Bucks,"Donovan Mitchell",46
Minnesota ,Timberwolves,"Lou Williams",45
New Orleans,Pelicans,"Russell Westbrook",44
New York ,Knicks,"James Harden",61
Oklahoma City,Thunder,"LaMarcus Aldridge",56
Orlando,Magic,"Kevin Durant",49
Philadelphia,76ers,"Giannis Antetokounmpo",45
Phoenix,Suns,"Jamal Murray",46
Portland Trail,Blazers,"Paul George",47
Sacramento,Kings,"Kevin Durant",44
San Antonio,Spurs,"James Harden",61
Toronto,Raptors,"Kevin Durant",51
Utah ,Jazz,"Devin Booker",59
Washington,Wizards,"James Harden",54
