Season,Player,Points,Assists,WS,VROP
2019,Harden,36.1,7.5,15.2,9.9
2019,Antetokounmpo,27.7,5.9,14.4,7.6
2019,Curry,27.3,5.2,9.7,4.9
2019,James,27.4,8.3,7.2,4.3
2019,Westbrook,22.9,10.7,6.8,5.6
2019,Leonard,26.6,3.3,9.5,3.6
2019,Durant,26,5.9,11.5,4.9
2018,Harden,30.4,8.8,15.4,8.3
2018,Antetokounmpo,26.9,4.8,11.9,5.4
2018,Curry,26.4,6.1,9.1,4.4
2018,James,27.5,9.1,14,8.9
2018,Westbrook,25.4,10.2,10.1,7.5
2018,Leonard,16.2,2.3,0.9,0.4
2018,Durant,26.4,5.4,11.5,4.5
2017,Harden,29.6,11.2,15,9
2017,Antetokounmpo,22.9,5.4,12.4,6.9
2017,Curry,25.3,6.6,12.6,6.2
2017,James,26.4,8.7,12.9,7.3
2017,Westbrook,31.6,10.4,13.1,12.4
2017,Leonard,25.5,3.5,13.6,3.2
2017,Durant,25.1,4.8,12,5.2
2016,Harden,29,7.5,13.3,6.9
2016,Antetokounmpo,16.9,4.3,7.1,3.2
2016,Curry,30.1,6.7,17.9,9.8
2016,James,25.3,6.8,13.6,7.6
2016,Westbrook,23.5,10.4,14,8.3
2016,Leonard,21.2,2.6,13.7,6.2
2016,Durant,28.2,5,14.5,6.4
2015,Harden,28.1,7,16.4,7.8
2015,Antetokounmpo,12.7,2.6,6.2,1.6
2015,Curry,23.8,7.7,15.7,7.9
2015,James,25.3,7.4,10.4,5.9
2015,Westbrook,27.4,8.6,10.6,7.6
2015,Leonard,16.5,2.5,8.6,4.1
2015,Durant,25.4,4.1,4.8,1.9
2014,Harden,25.4,6.1,12.8,5.4
2014,Antetokounmpo,6.8,1.9,1.2,0.1
2014,Curry,24,8.5,13.4,6.7
2014,James,27.1,6.3,15.9,8
2014,Westbrook,21.8,6.9,5.2,3
2014,Leonard,12.8,2,7.7,3.8
2014,Durant,32,5.5,19.2,8.5
